Id;Label;rank;Cluster;kingdom;phylum;class;order;family
155;Atractiellomycetes;CLASS;31;Fungi;Basidiomycota;Atractiellomycetes;;
156;Glomeromycetes;CLASS;36;Fungi;Glomeromycota;Glomeromycetes;;
1611414;Lonchoptera;GENUS;13;Animalia;Arthropoda;Insecta;Diptera;Lonchopteridae
1611430;Lonchoptera lutea;SPECIES;32;Animalia;Arthropoda;Insecta;Diptera;Lonchopteridae
1642567;Psychomora;GENUS;13;Animalia;Arthropoda;Insecta;Diptera;Psychodidae
178;Eurotiomycetes;CLASS;31;Fungi;Ascomycota;Eurotiomycetes;;
1789671;Noctua;GENUS;7;Animalia;Arthropoda;Insecta;Lepidoptera;Noctuidae
1789695;Noctua pronuba;SPECIES;13;Animalia;Arthropoda;Insecta;Lepidoptera;Noctuidae
179;Leotiomycetes;CLASS;31;Fungi;Ascomycota;Leotiomycetes;;
180;Lecanoromycetes;CLASS;31;Fungi;Ascomycota;Lecanoromycetes;;
181;Orbiliomycetes;CLASS;31;Fungi;Ascomycota;Orbiliomycetes;;
182;Saccharomycetes;CLASS;31;Fungi;Ascomycota;Saccharomycetes;;
183;Dothideomycetes;CLASS;31;Fungi;Ascomycota;Dothideomycetes;;
184;Taphrinomycetes;CLASS;31;Fungi;Ascomycota;Taphrinomycetes;;
186;Agaricomycetes;CLASS;31;Fungi;Basidiomycota;Agaricomycetes;;
1948;Eustigmataceae;FAMILY;30;Chromista;Ochrophyta;Eustigmatophyceae;Eustigmatales;Eustigmataceae
195;Ulvophyceae;CLASS;13;Plantae;Chlorophyta;Ulvophyceae;;
1958;Olpidiaceae;FAMILY;31;Fungi;Chytridiomycota;Chytridiomycetes;Olpidiales;Olpidiaceae
196;Monocots;CLASS;1;Plantae;Tracheophyta;Monocots;;
197;Alphaproteobacteria;CLASS;45;Bacteria;Proteobacteria;Alphaproteobacteria;;
2;Archaea;KINGDOM;43;Archaea;;;;
2049366;Pemphigus;GENUS;12;Animalia;Arthropoda;Insecta;Hemiptera;Aphididae
2049562;Aphis;GENUS;13;Animalia;Arthropoda;Insecta;Hemiptera;Aphididae
2069512;Rhopalosiphum;GENUS;13;Animalia;Arthropoda;Insecta;Hemiptera;Aphididae
2069580;Rhopalosiphum padi;SPECIES;12;Animalia;Arthropoda;Insecta;Hemiptera;Aphididae
2071998;Rhodobium;GENUS;13;Animalia;Arthropoda;Insecta;Hemiptera;Aphididae
2076150;Myzus;GENUS;13;Animalia;Arthropoda;Insecta;Hemiptera;Aphididae
2076179;Myzus persicae;SPECIES;2;Animalia;Arthropoda;Insecta;Hemiptera;Aphididae
2076745;Aulacorthum solani;SPECIES;2;Animalia;Arthropoda;Insecta;Hemiptera;Aphididae
2077398;Acyrthosiphon;GENUS;13;Animalia;Arthropoda;Insecta;Hemiptera;Aphididae
2077503;Acyrthosiphon pisum;SPECIES;13;Animalia;Arthropoda;Insecta;Hemiptera;Aphididae
2119156;Eosentomon;GENUS;32;Animalia;Arthropoda;Entognatha;Protura;Eosentomidae
2119703;Tetracanthella;GENUS;13;Animalia;Arthropoda;Entognatha;Collembola;Isotomidae
2120091;Isotoma;GENUS;13;Animalia;Arthropoda;Entognatha;Collembola;Isotomidae
2120341;Isotomiella;GENUS;13;Animalia;Arthropoda;Entognatha;Collembola;Isotomidae
2120343;Isotomiella minor;SPECIES;13;Animalia;Arthropoda;Entognatha;Collembola;Isotomidae
2120344;Folsomia;GENUS;13;Animalia;Arthropoda;Entognatha;Collembola;Isotomidae
2120372;Folsomia quadrioculata;SPECIES;13;Animalia;Arthropoda;Entognatha;Collembola;Isotomidae
2120383;Folsomia candida;SPECIES;13;Animalia;Arthropoda;Entognatha;Collembola;Isotomidae
2120412;Entomobrya;GENUS;13;Animalia;Arthropoda;Entognatha;Collembola;Entomobryidae
