;consumer_gbif_key;consumer_rank;consumer_name;interaction_type;resource_name;resource_gbif_key;resource_rank;reference;remark
244;3236046;FAMILY;Salpingoecidae;eats;Archaea;2;KINGDOM;;pred1 intercepteur
245;9281454;FAMILY;Siluaniidae;eats;Archaea;2;KINGDOM;;pred1 intercepteur
246;9797892;ORDER;Euglyphida;eats;Archaea;2;KINGDOM;;pred1 assoc au substrat
247;4920982;FAMILY;Stemonitidae;eats;Archaea;2;KINGDOM;;pred1 assoc au substrat
248;8157265;FAMILY;Stephanoecidae;eats;Archaea;2;KINGDOM;;pred1 intercepteur
249;4378164;FAMILY;Thaumatomastigidae;eats;Archaea;2;KINGDOM;;pred1 assoc au substrat
250;3235224;FAMILY;Trinematidae;eats;Archaea;2;KINGDOM;;pred1 assoc au substrat
251;2626969;SPECIES;Olpidium brassicae;parasiteOf;Arctium;8106066;GENUS;FungalDataBase;
252;5262297;SPECIES;Phoma herbarum;parasiteOf;Arenaria fendleri;5384500;SPECIES;FungalDataBase;
253;5262297;SPECIES;Phoma herbarum;parasiteOf;Arenaria peploides;6363690;SPECIES;FungalDataBase;
